rap;pt;cent;Model_Jpsi_PbPb;N_Jpsi_PbPb;m_Jpsi_PbPb;sigma1_Jpsi_PbPb;rSigma21_Jpsi_PbPb;alpha_Jpsi_PbPb;n_Jpsi_PbPb;f_Jpsi_PbPb
0.0-0.6;6.5-50.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;6.5-50.0;0-10;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;6.5-50.0;10-20;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;6.5-50.0;20-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;6.5-50.0;30-40;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;6.5-50.0;40-50;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;6.5-50.0;50-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;6.5-8.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;8.5-9.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;9.5-11.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;11.0-15.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
0.0-0.6;15.0-50.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.020,0.015,0.025];[1.55];[2.08];[1.34];[0.85,0.5,1.0]
