pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
65300 0024 010 0.0506171 0.0133164 0.0802046 0.0211023 0.164693
65300 0024 1020 0.0768423 0.0170822 0.0941003 0.0209197 0.654712
65300 0024 2030 0.103029 0.0226841 0.122391 0.0269495 0.178182
65300 0024 3060 0.133007 0.0246953 0.17026 0.0316183 0.254624
