rap;pt;cent;Model_Jpsi_PbPb;N_Jpsi_PbPb;m_Jpsi_PbPb;sigma1_Jpsi_PbPb;rSigma21_Jpsi_PbPb;alpha_Jpsi_PbPb;n_Jpsi_PbPb;f_Jpsi_PbPb
1.8-2.4;3.0-6.5;0-10;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.04];[1.55];[0.83,0.5,1.0]
1.8-2.4;3.0-6.5;10-20;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.04];[1.55];[0.83,0.5,1.0]
1.8-2.4;3.0-6.5;20-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.04];[1.55];[0.83,0.5,1.0]
1.8-2.4;3.0-6.5;30-40;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.04];[1.55];[0.83,0.5,1.0]
1.8-2.4;3.0-6.5;40-50;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.04];[1.55];[0.83,0.5,1.0]
1.8-2.4;3.0-6.5;50-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.04];[1.55];[0.83,0.5,1.0]
