rap;pt;cent;Model_Jpsi_PbPb;N_Jpsi_PbPb;m_Jpsi_PbPb;sigma1_Jpsi_PbPb;rSigma21_Jpsi_PbPb;alpha_Jpsi_PbPb;n_Jpsi_PbPb;f_Jpsi_PbPb
0.0-2.4;6.5-50.0;10-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.025,0.02,0.04];[2.16];[1.95];[1.70];[0.64,0.5,1.0]
0.0-2.4;6.5-7.5;10-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.025,0.02,0.04];[2.16];[1.95];[1.70];[0.64,0.5,1.0]
0.0-2.4;7.5-8.5;10-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.025,0.02,0.04];[2.16];[1.95];[1.70];[0.64,0.5,1.0]
0.0-2.4;8.5-9.5;10-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.025,0.02,0.04];[2.16];[1.95];[1.70];[0.64,0.5,1.0]
0.0-2.4;9.5-11.0;10-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.025,0.02,0.04];[2.16];[1.95];[1.70];[0.64,0.5,1.0]
0.0-2.4;11.0-13.0;10-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.025,0.02,0.04];[2.16];[1.95];[1.70];[0.64,0.5,1.0]
0.0-2.4;13.0-15.0;10-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.025,0.02,0.04];[2.16];[1.95];[1.70];[0.64,0.5,1.0]
0.0-2.4;15.0-20.0;10-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.025,0.02,0.04];[2.16];[1.95];[1.70];[0.64,0.5,1.0]
0.0-2.4;20.0-50.0;10-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.025,0.02,0.04];[2.16];[1.95];[1.70];[0.64,0.5,1.0]
