pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
65300 0012 1060 -102273 0.6 -125212 199.285 0.000269292
65300 1216 1060 -109712 0.848528 -134319 213.781 0.0519182
65300 1624 1060 -116336 1.2 -142429 226.691 0.106671
