23.6		0.16224		0.235794	0.320196	0.353456
23.8		0.163241	0.236886	0.322263	0.355303
24		0.164772	0.238648	0.324363	0.357198
24.2		0.16629		0.240393	0.326454	0.359085
24.4		0.167792	0.242108	0.328539	0.360968
24.6		0.169292	0.243829	0.330616	0.362848
24.8		0.170803	0.245555	0.332191	0.364185
25		0.172311	0.247275	0.334255	0.366056
25.2		0.173797	0.248966	0.336296	0.367903
25.4		0.174517	0.249717	0.338067	0.369451
25.6		0.17601		0.251413	0.340092	0.371288
25.8		0.177513	0.253119	0.34207		0.373078
26		0.179001	0.254808	0.344069	0.374892
26.2		0.18049		0.256493	0.346044	0.376683
26.4		0.181976	0.258172	0.348014	0.378473
26.6		0.183467	0.259852	0.349981	0.38026
26.8		0.184948	0.261519	0.351935	0.382037
27		0.186433	0.263186	0.35388		0.383807
27.2		0.187914	0.264846	0.355811	0.385564
27.4		0.188526	0.26559		0.357483	0.387048
27.6		0.190001	0.267241	0.359388	0.388782
27.8		0.191466	0.268879	0.361288	0.390514
28		0.192878	0.270451	0.363092	0.392144
28.2		0.194328	0.27207		0.36494		0.393825
28.4		0.19579		0.273696	0.366637	0.395346
28.6		0.197244	0.275309	0.368488	0.397035
28.8		0.198694	0.276917	0.370326	0.398712
29		0.200122	0.278497	0.372146	0.400373
29.2		0.201559	0.280084	0.373967	0.402036
29.4		0.202591	0.281322	0.375588	0.403495
29.6		0.204033	0.28291		0.377387	0.40514
29.8		0.205474	0.284495	0.379176	0.406776
30		0.206902	0.286063	0.380956	0.408405
