23.6		0.153208	0.223192	0.306617	0.338292
23.8		0.154511	0.224697	0.308661	0.340141
24		0.155913	0.226325	0.310708	0.341997
24.2		0.157353	0.227997	0.312764	0.343866
24.4		0.158793	0.229674	0.3148		0.345716
24.6		0.160239	0.231356	0.316232	0.346908
24.8		0.161682	0.23303		0.318212	0.348704
25		0.163061	0.234627	0.320065	0.350362
25.2		0.164322	0.23598		0.322061	0.352171
25.4		0.16576		0.237641	0.323609	0.3535
25.6		0.166994	0.23912		0.325544	0.355264
25.8		0.168423	0.240766	0.327508	0.357055
26		0.169826	0.242384	0.329454	0.358831
26.2		0.170568	0.243384	0.331257	0.360463
26.4		0.171522	0.244492	0.333073	0.362101
26.6		0.172927	0.246107	0.335008	0.363872
26.8		0.17429		0.247668	0.336936	0.365638
27		0.175698	0.249279	0.338824	0.367363
27.2		0.177115	0.250894	0.340734	0.369115
27.4		0.178519	0.252492	0.34259		0.37081
27.6		0.179263	0.253303	0.344258	0.372298
27.8		0.180669	0.254902	0.346134	0.37402
28		0.182072	0.256493	0.347999	0.375733
28.2		0.183431	0.258031	0.349844	0.377425
28.4		0.184829	0.259613	0.351691	0.379124
28.6		0.186171	0.261129	0.35351		0.380792
28.8		0.187555	0.26269		0.355332	0.382467
29		0.188946	0.264256	0.357147	0.384137
29.2		0.1903		0.265781	0.35894		0.385785
29.4		0.191684	0.267334	0.36019		0.386856
29.6		0.193065	0.268881	0.361974	0.388499
29.8		0.194397	0.270377	0.363723	0.390106
30		0.19577		0.271912	0.365485	0.39173
