pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
65300 0024 010 -96542.8 0.6 -152975 557.509 0.163902
65300 0024 1020 -106102 0.848528 -129931 286.404 0.00549154
65300 0024 2030 -114369 1.2 -135863 403.491 0.0230105
65300 0024 3060 -124149 1.69706 -158921 589.958 0.00421738
