pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
3065 0024 1060 -80260.7 2.4 -98262.4 156.42 0.0256227
65100 0024 1060 -87001.5 3.39411 -106515 169.578 0.131217
100300 0024 1060 -91755.3 4.8 -112335 178.886 0.412983
