				PROMPT			NonPROMPT	
Rap	pT	Cent	Mean	MaxVar	relVariation	Mean	MaxVar	relVariation
1.6-2.4	3.0-6.5	20.0-40.0	0.267	0.008 	0.030	0.218	0.006 	0.028
1.6-2.4	3.0-6.5	30.0-40.0	0.312	0.009 	0.030	0.236	0.007 	0.029
1.6-2.4	3.0-6.5	40.0-100.0	0.312	0.009 	0.028	0.255	0.007 	0.029
1.6-2.4	3.0-6.5	40.0-50.0	0.310	0.009 	0.028	0.242	0.007 	0.030
1.6-2.4	3.0-6.5	50.0-100.0	0.315	0.009 	0.029	0.269	0.007 	0.027
1.6-2.4	4.5-5.5	0.0-100.0	0.255	0.007 	0.029	0.185	0.005 	0.028
1.6-2.4	5.5-6.5	0.0-100.0	0.334	0.008 	0.023	0.230	0.005 	0.022
1.6-2.4	6.5-30.0	0.0-10.0	0.373	0.006 	0.017	0.265	0.004 	0.017
1.6-2.4	6.5-30.0	0.0-100.0	0.409	0.007 	0.017	0.295	0.005 	0.017
1.6-2.4	6.5-30.0	10.0-20.0	0.404	0.007 	0.017	0.302	0.005 	0.017
1.6-2.4	6.5-30.0	20.0-30.0	0.432	0.008 	0.018	0.316	0.005 	0.017
1.6-2.4	6.5-30.0	30.0-40.0	0.464	0.008 	0.018	0.338	0.006 	0.017
1.6-2.4	6.5-30.0	40.0-50.0	0.477	0.008 	0.017	0.351	0.006 	0.017
1.6-2.4	6.5-30.0	50.0-100.0	0.486	0.009 	0.018	0.352	0.006 	0.017
2.0-2.4	6.5-30.0	0.0-100.0	0.347	0.008 	0.024	0.246	0.006 	0.025
