					PROMPT				NonPROMPT	
Rap	pT	Cent		Mean	Sigma	relVariation		Mean	Sigma	relVariation
1.6-2.4	3.0-6.5	0.0-100.0		0.213 	0.03 	0.1494465705		0.170	0.024	0.1437888728
1.6-2.4	3.0-6.5	0.0-20.0		0.187 	0.03 	0.1454472484		0.147	0.021	0.1435456426
1.6-2.4	3.0-6.5	10.0-20.0		0.194 	0.03 	0.150310267		0.171	0.025	0.1454841966
1.6-2.4	3.0-6.5	20.0-30.0		0.224 	0.03 	0.15457798		0.202	0.029	0.144512922
1.6-2.4	3.0-6.5	20.0-40.0		0.253 	0.04 	0.1547183915		0.213	0.031	0.1440839229
1.6-2.4	3.0-6.5	30.0-40.0		0.296 	0.05 	0.154919344		0.232	0.033	0.1434456768
1.6-2.4	3.0-6.5	40.0-100.0		0.295 	0.05 	0.1552139273		0.248	0.036	0.1443566805
1.6-2.4	3.0-6.5	40.0-50.0		0.292 	0.05 	0.1547693679		0.237	0.034	0.1425014432
1.6-2.4	3.0-6.5	50.0-100.0		0.299 	0.05 	0.1557784394		0.261	0.038	0.146337992
1.6-2.4	4.5-5.5	0.0-100.0		0.246	0.03	0.1422798842		0.179	0.026	0.1470525798
1.6-2.4	5.5-6.5	0.0-100.0		0.347	0.04	0.1078694032		0.237	0.027	0.1119992057
1.6-2.4	6.5-30.0	0.0-10.0		0.409	0.03	0.0751410096		0.293	0.021	0.0721209022
1.6-2.4	6.5-30.0	0.0-100.0		0.451	0.03	0.0760175935		0.328	0.024	0.0720803293
1.6-2.4	6.5-30.0	10.0-20.0		0.447	0.03	0.0748844279		0.338	0.024	0.0710423136
1.6-2.4	6.5-30.0	20.0-30.0		0.477	0.04	0.0773093115		0.354	0.025	0.0712907911
1.6-2.4	6.5-30.0	30.0-40.0		0.511	0.04	0.0772403217		0.375	0.028	0.074226518
1.6-2.4	6.5-30.0	40.0-50.0		0.523	0.04	0.0790197968		0.388	0.029	0.0740852904
1.6-2.4	6.5-30.0	50.0-100.0		0.536	0.04	0.077849543		0.390	0.029	0.073400155
2.0-2.4	6.5-30.0	0.0-100.0		0.436	0.03	0.0771978217		0.312	0.023	0.0734082841
