				PROMPT			NonPROMPT	
Rap	pT	Cent	Mean	Max Var	relVariation	Mean	Max Var	relVariation
1.6-2.4	3.0-6.5	20.0-40.0	0.267	0.020 	0.074	0.218	0.016 	0.073
1.6-2.4	3.0-6.5	30.0-40.0	0.312	0.023 	0.075	0.236	0.017 	0.073
1.6-2.4	3.0-6.5	40.0-100.0	0.312	0.023 	0.074	0.255	0.019 	0.073
1.6-2.4	3.0-6.5	40.0-50.0	0.310	0.023 	0.073	0.242	0.018 	0.073
1.6-2.4	3.0-6.5	50.0-100.0	0.315	0.023 	0.074	0.269	0.020 	0.073
1.6-2.4	4.5-5.5	0.0-100.0	0.255	0.019 	0.074	0.185	0.014 	0.074
1.6-2.4	5.5-6.5	0.0-100.0	0.334	0.024 	0.071	0.230	0.016 	0.071
1.6-2.4	6.5-30.0	0.0-10.0	0.373	0.024 	0.065	0.265	0.017 	0.065
1.6-2.4	6.5-30.0	0.0-100.0	0.409	0.027 	0.065	0.295	0.019 	0.065
1.6-2.4	6.5-30.0	10.0-20.0	0.404	0.026 	0.065	0.302	0.020 	0.065
1.6-2.4	6.5-30.0	20.0-30.0	0.432	0.028 	0.065	0.316	0.021 	0.065
1.6-2.4	6.5-30.0	30.0-40.0	0.464	0.031 	0.066	0.338	0.022 	0.065
1.6-2.4	6.5-30.0	40.0-50.0	0.477	0.031 	0.066	0.351	0.023 	0.065
1.6-2.4	6.5-30.0	50.0-100.0	0.486	0.032 	0.066	0.352	0.023 	0.065
2.0-2.4	6.5-30.0	0.0-100.0	0.347	0.024 	0.068	0.246	0.017 	0.068
