				PROMPT			NonPROMPT	
Rap	pT	Cent	Mean	Sigma	relVariation	Mean	Sigma	relVariation
1.6-2.4	3.0-6.5	10.0-20.0	0.205	0.00817606	0.040	0.205	0.00671548	0.033
1.6-2.4	3.0-6.5	20.0-30.0	0.237	0.00946484	0.040	0.237	0.00753497	0.032
1.6-2.4	3.0-6.5	20.0-40.0	0.267	0.0106259	0.040	0.267	0.00796364	0.030
1.6-2.4	3.0-6.5	30.0-40.0	0.312	0.0124143	0.040	0.312	0.00871783	0.028
1.6-2.4	3.0-6.5	40.0-100.0	0.312	0.0124398	0.040	0.312	0.00949512	0.030
1.6-2.4	3.0-6.5	40.0-50.0	0.310	0.0124127	0.040	0.310	0.00898813	0.029
1.6-2.4	3.0-6.5	50.0-100.0	0.315	0.0124952	0.040	0.315	0.0100856	0.032
1.6-2.4	4.5-5.5	0.0-100.0	0.255	0.00932827	0.037	0.255	0.0068958	0.027
1.6-2.4	5.5-6.5	0.0-100.0	0.334	0.0110127	0.033	0.334	0.00742247	0.022
1.6-2.4	6.5-30.0	0.0-10.0	0.373	0.0127337	0.034	0.373	0.00927208	0.025
1.6-2.4	6.5-30.0	0.0-100.0	0.409	0.0139957	0.034	0.409	0.0103668	0.025
1.6-2.4	6.5-30.0	10.0-20.0	0.404	0.0139835	0.035	0.404	0.0107876	0.027
1.6-2.4	6.5-30.0	20.0-30.0	0.432	0.0146265	0.034	0.432	0.0112247	0.026
1.6-2.4	6.5-30.0	30.0-40.0	0.464	0.0158425	0.034	0.464	0.0117072	0.025
1.6-2.4	6.5-30.0	40.0-50.0	0.477	0.0161414	0.034	0.477	0.0121152	0.025
1.6-2.4	6.5-30.0	50.0-100.0	0.486	0.016615	0.034	0.486	0.0122786	0.025
2.0-2.4	6.5-30.0	0.0-100.0	0.347	0.01484	0.043	0.347	0.0107438	0.031
