0.950
0.0, 1.6, 15.0, 20.0, 0, 200, 0.0819355, 0.778815
0.0, 1.6, 12.0, 15.0, 0, 200, 0.228558, 0.746725
1.6, 2.4, 12.0, 30.0, 0, 200, 0.169, 1.33985
0.0, 1.6, 6.5, 9.0, 0, 200, 0.00995411, 0.644499
1.6, 2.4, 6.5, 12.0, 0, 200, 0.00430041, 0.891066
0.0, 1.6, 9.0, 12.0, 0, 200, 0.181183, 0.588735
0.0, 1.6, 6.5, 30.0, 0, 20, 0, 0.523377
0.0, 1.6, 6.5, 30.0, 100, 200, 0.178187, 0.71602
1.6, 2.4, 3.0, 6.5, 0, 200, 0, 0.840636
0.0, 1.6, 6.5, 30.0, 60, 80, 0.170924, 0.896924
1.6, 2.4, 3.0, 30.0, 0, 40, 0, 1.28711
0.0, 1.6, 20.0, 30.0, 0, 200, 0, 0.805806
0.0, 1.6, 6.5, 30.0, 80, 100, 0.017835, 0.650884
1.6, 2.4, 3.0, 30.0, 0, 200, 0, 0.654382
0.0, 1.6, 6.5, 30.0, 20, 40, 0.0168222, 0.699476
0.0, 1.6, 6.5, 30.0, 40, 60, 0.171136, 0.937363
1.6, 2.4, 3.0, 30.0, 40, 80, 0, 0.504068
1.6, 2.4, 3.0, 30.0, 80, 200, 0, 0.696658
0.0, 1.6, 6.5, 30.0, 0, 200, 0.188176, 0.528728
