pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
3065 0024 1060 0.0434855 0.0193257 0.0532388 0.0236604 0.000391556
6580 0024 1060 0.051424 0.0198153 0.0629579 0.0242599 0.430858
80100 0024 1060 0.0751739 0.0205591 0.0920346 0.0251707 0.17386
100300 0024 1060 0.0183153 0.0188339 0.0224232 0.0230581 0.759868
