pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err 
3065 0024 1060 0.0465178 0.0195477 0.0569512 0.0239322
6580 0024 1060 0.0538379 0.0199564 0.0659132 0.0244326
80100 0024 1060 0.0714525 0.0200645 0.0874786 0.0245652
100300 0024 1060 0.0267084 0.018813 0.0326988 0.0230326
