#Y3S-pt
#pt	etabar=1/(4pi)	        etabar=2/(4pi)	        etabar=3/(4pi)
1.25	0.09822764910016285	0.11270066193424053	0.12300136710341526
3.75	0.09822764910016285	0.11270066193424053	0.12300136710341526
6.5	0.11146468624908062	0.13300446370858865	0.14930615129321248
10	0.11146468624908062	0.13300446370858865	0.14930615129321248
16	0.1436236238383952	0.18534100774218176	0.20902010425217477
# Eof
