#Y2S-Npart
#Npart	etabar=1/4pi	        etabar=2/4pi	        etabar=3/4pi
0	0.9909367783293563	0.9910311165276753	0.9911362817833486
1	0.993125700623119	0.9930559191036875	0.9929781288611021
2	0.9907225611851028	0.9908329608294364	0.9909560308798457
3	0.9837273600153074	0.9843622417049224	0.9850699878395794
4	0.9722431631256825	0.9740809351370104	0.9757998103044003
5	0.9568461025787548	0.9624328110146766	0.9658276069994506
6	0.9376254848562839	0.9497966791720025	0.9555691327655365
7	0.9145813099582694	0.9361725396089875	0.9450243876026572
8	0.8889950196411607	0.9214265922249018	0.934249044188321
9	0.8634096448443246	0.9052933096993359	0.9233535853756621
10	0.8378945157533503	0.8877654530097068	0.912341023238421
11	0.8124496323682371	0.8688430221560135	0.9012113577765972
12	0.787127329990518	0.8486617391209365	0.889894825963378
13	0.762497770976137	0.8287002151502648	0.8776314006171033
14	0.7387171410622239	0.8093634892384968	0.8642128859416645
15	0.7157854402487784	0.7906515613856326	0.8496392819370621
16	0.693702668535801	0.7725644315916723	0.8339105886032956
17	0.6724688259232915	0.7551020998566155	0.8170268059403654
18	0.652084380503719	0.7382559773688155	0.7990263027771631
19	0.6325638630473107	0.7217594457636852	0.7811001442843537
20	0.6139141564481256	0.7054862140099363	0.7638125108362629
21	0.5961352607061633	0.689436282107569	0.7471634024328906
22	0.5792271758214238	0.6736096500565834	0.7311528190742367
23	0.5631899017939073	0.658006317856979	0.715780760760301
24	0.5480234386236136	0.6426262855087566	0.7010472274910838
25	0.5337277863105426	0.6274695530119153	0.6869522192665849
26	0.5202965642613326	0.6125449614584617	0.6734912316854972
27	0.5075070221211954	0.5981611586918362	0.6605070133869482
28	0.4952488906827298	0.5844709361771504	0.647921719453732
29	0.48352216994593555	0.5714742939144044	0.6357353498858483
30	0.4723268599108131	0.5591712319035986	0.623947904683298
31	0.46166296057736184	0.5475617501447325	0.6125593838460798
32	0.4515304719455823	0.5366458486378064	0.6015697873741946
33	0.44192939401547415	0.5264235273828202	0.5909791152676422
34	0.4328597267870376	0.516894786379774	0.5807873675264225
35	0.4243214702602725	0.5080596256286677	0.5709945441505356
36	0.4162973712049802	0.49988909807088516	0.5615900475027282
37	0.40854753780333597	0.49198071892925216	0.5524265262501756
38	0.4009950500354099	0.48420543362674145	0.5434567329812727
39	0.3936399079012021	0.47656324216335305	0.5346806676960194
40	0.3864821114007128	0.46905414453908706	0.5260983303944158
41	0.3795216605339418	0.4616781407539435	0.5177097210764615
42	0.37275855530088914	0.45443523080792236	0.509514839742157
43	0.36619279570155483	0.44732541470102355	0.5015136863915021
44	0.35982438173593884	0.4403486924332471	0.49370626102449666
45	0.35365331340404116	0.433505064004593	0.48609256364114084
46	0.3476795907058619	0.4267945294150614	0.47867259424143466
47	0.34190321364140097	0.42021708866465224	0.47144635282537817
48	0.33631590007526857	0.4137784082114433	0.46441158561595486
49	0.33088683761486704	0.4074995692286731	0.4575599077873943
50	0.3256131201128776	0.4013825600395426	0.45089052850403316
51	0.3204947475693003	0.39542738064405186	0.4444034477658716
52	0.3155317199841351	0.3896340310422008	0.4380986655729094
53	0.3107240373573819	0.38400251123398954	0.43197618192514686
54	0.3060716996890409	0.3785328212194181	0.4260359968225838
55	0.30157470697911193	0.3732249609984864	0.4202781102652202
56	0.297233059227595	0.3680789305711944	0.4147025222530562
57	0.2930467564344903	0.3630947299375422	0.40930923278609166
58	0.28901579859979765	0.3582723590975298	0.4040982418643267
59	0.28514018572351707	0.35361181805115705	0.3990695494877611
60	0.2814199178056486	0.34911310679842417	0.3942231556563952
61	0.2778521274052712	0.34477379367552363	0.3895561418244155
62	0.27436999212451874	0.34053721156676187	0.3850004946534866
63	0.2709454427702904	0.3363795570729246	0.3805276446880349
64	0.2675784793425863	0.3323008301940119	0.37613759192806023
65	0.26426910184140623	0.3283010309300236	0.37183033637356244
