#Y1S-pt
#pt	etabar=1/(4pi)	        etabar=2/(4pi)	        etabar=3/(4pi)
1.25	0.3222120854827838	0.3635606222385068	0.4116101421535253
3.75	0.32222962000965155	0.36358033636687626	0.41163238664380614
6.5	0.32394470522530877	0.3659462795420265	0.41449880759754115
10	0.3319624953470061	0.37708115776599044	0.42714327619254866
16	0.3473612359387845	0.39572721357258955	0.45018803653903255
# Eof
