#Y2S-Rapidity
#Rapidity	etabar=1/4pi	        etabar=2/4pi	        etabar=3/4pi
0.	0.12835110198361308	0.15618038472093673	0.17644093773235695
0.2	0.12835469624783433	0.15618361499742475	0.17644599714072112
0.4	0.1283651353033961	0.1561964970974411	0.17645765066487826
0.6000000000000001	0.12839005763695172	0.15622386283763043	0.1764905495422075
0.8	0.12845330030054924	0.15628315734138565	0.17655447871184143
1.	0.128557008488264	0.1563926663841106	0.17669279482463102
1.2000000000000002	0.12874695511061113	0.15660986569471935	0.17695127161104166
1.4000000000000001	0.1290693536807729	0.1569691001299141	0.17737230126403136
1.6	0.1295151304778179	0.15754698834003455	0.1780285424479276
1.8	0.13006934569238338	0.15831320023205206	0.17886860929276077
2.	0.1307192353554942	0.15908848561489794	0.17984978364154022
2.2	0.13154097792953018	0.1600790930140667	0.1810009129978695
2.4000000000000004	0.13263310237113157	0.16139027082635904	0.1826560316151702
2.6	0.13406067041730574	0.16320095865591175	0.18495277277930883
2.8000000000000003	0.1360651177673857	0.16586940735766076	0.18815319435445516
3.	0.13917099290516846	0.1697717169706109	0.1930119967574841
3.2	0.14351677736974439	0.17528438356913278	0.19980843784172242
3.4000000000000004	0.14945582177329347	0.18283990755715054	0.20879427794646607
3.6	0.15718671947332882	0.19277493106968557	0.22063814513706428
3.8000000000000003	0.167327609900826	0.20565131772214787	0.23597503013455762
4.	0.18013542649649744	0.22253527806241163	0.25570462786999965
4.2	0.19627561810873728	0.24351279370394652	0.2803028113165927
4.4	0.21673741775072303	0.2700483666151262	0.31187904632904245
4.6000000000000005	0.242822061062606	0.303005618229543	0.3517782098066031
4.800000000000001	0.2766148643103058	0.3450346091007472	0.40215101412591014
5.	0.319367976111709	0.39807414237051136	0.4656883695192605
5.2	0.37463368875451947	0.46406417584121007	0.5471952647670507
5.4	0.44470822398185395	0.5493799706501712	0.6408678983115614
5.6000000000000005	0.5331806675283113	0.6509387120931389	0.7486137223114713
5.800000000000001	0.635805381989195	0.7604962139075101	0.8563490754624477
6.	0.7462455500196626	0.8320259978343613	0.9109835349789736
6.2	0.8480955740633351	0.9012030023340242	0.9404856780061238
6.4	0.92420040885732	0.9432005413127161	0.9565657531737198
6.6000000000000005	0.9690274496531981	0.975348094480071	0.9777077577296911
6.800000000000001	0.989058543997555	0.9900434530800006	0.990309073493177
# Eof
