#Y2S/Y1S-pT-Ratio
#LHC-CMS-Cuts
#pT	etabar=1/4pi	        etabar=2/4pi	        etabar=3/4pi
2.5	0.3063390949894869	0.3114242445843271	0.30053523353197986
8.5	0.3412055009918025	0.35955390313386193	0.35584578842227127
21.	0.43923401185448807	0.4909270249139206	0.49034269445894446
# Eof
