#Y1S-Rapidity
#Rapidity	etabar=1/4pi	        etabar=2/4pi	        etabar=3/4pi
0.	0.3365604600335441	0.38146342192808663	0.4327956301522353
0.2	0.33657292547624124	0.3814815847352761	0.4328079153948827
0.4	0.3366143186530125	0.38152020974851597	0.43283961801950577
0.6000000000000001	0.3366962726465196	0.381603414122119	0.43292379712864304
0.8	0.3368466228976905	0.3817528800809468	0.43307636927167403
1.	0.3371127309383806	0.38202265066669866	0.43336501395026483
1.2000000000000002	0.3375780850501609	0.38248842408648215	0.43388693179818794
1.4000000000000001	0.3382789149256821	0.38323188861104757	0.43472251907936793
1.6	0.33932522270968607	0.38436470689114216	0.4360256316049838
1.8	0.34068799044815806	0.38586827164176013	0.4377877996481065
2.	0.3424087006088073	0.3878089081518428	0.4401413169175956
2.2	0.34456607329183453	0.3902707509188466	0.44307426223974766
2.4000000000000004	0.34730009434011805	0.39338392305189657	0.44690773637525116
2.6	0.3507642663516112	0.3974813536934486	0.4517577956629737
2.8000000000000003	0.35532963350679353	0.40284893523222637	0.45816163028295864
3.	0.36148545851218694	0.41014471326196816	0.46672874668850367
3.2	0.3696883615325677	0.41968325019047986	0.4778499721575479
3.4000000000000004	0.3801449111579352	0.43185809487928295	0.49188688757236565
3.6	0.3931334692066127	0.44696894245717345	0.5091559831015208
3.8000000000000003	0.40883607620234175	0.4653177176339646	0.5300327037601142
4.	0.42770262043959245	0.487429383057197	0.5548445097772658
4.2	0.44991419064403193	0.5134099421243038	0.5839920872382807
4.4	0.4758711408292203	0.5435811127656437	0.617950888347148
4.6000000000000005	0.5061482105532246	0.5787076053477487	0.6571251579120505
4.800000000000001	0.5415970404901821	0.6189448219807625	0.7013594333375223
5.	0.5823782520020818	0.6638329659792936	0.7505437714449783
5.2	0.628712099538196	0.7125390029959487	0.8017180048409471
5.4	0.6791667428194692	0.7638407531886592	0.8487861711221529
5.6000000000000005	0.7344409403698073	0.8156866181503016	0.8892248237239582
5.800000000000001	0.7909198022636866	0.8660278783335812	0.9222611227717717
6.	0.8480804787492572	0.9056040821048584	0.9407810666302568
6.2	0.8999382838404141	0.937313956171402	0.9531514351913878
6.4	0.9401008272776004	0.9563792144242481	0.962441578244886
6.6000000000000005	0.9669903487849192	0.9721527274082497	0.9739773131974884
6.800000000000001	0.9827235009737102	0.9842845242236029	0.9847628073490811
# Eof
