rap;pt;cent;Model_Jpsi_PbPb;N_Jpsi_PbPb;m_Jpsi_PbPb;sigma1_Jpsi_PbPb;rSigma21_Jpsi_PbPb;alpha_Jpsi_PbPb;n_Jpsi_PbPb;f_Jpsi_PbPb
1.2-1.8;6.5-50.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;6.5-50.0;0-10;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;6.5-50.0;10-20;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;6.5-50.0;20-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;6.5-50.0;30-40;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;6.5-50.0;40-50;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;6.5-50.0;50-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;6.5-7.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;7.5-8.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;8.5-9.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;9.5-11.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;11.0-15.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
1.2-1.8;15.0-50.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.03,0.02,0.05];[1.76];[1.94];[1.61];[0.74,0.5,1.0]
