pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err 
65300 0012 1060 0.0420657 0.0159048 0.0515006 0.0194722
65300 1216 1060 0.0432442 0.023791 0.0529435 0.0291272
65300 1624 1060 0.0496979 0.0222176 0.0608446 0.027201
