pT	rapidity	cent	Raa	Uncert_tot	contrib_IDtrg_stat_pp	contrib_IDtrg_syst_pp	contrib_IDtrg_pp	contrib_sta_stat_pp	contrib_sta_syst_pp	contrib_sta_pp	contrib_3d_pp	contrib_4d_pp	contrib_fit_pp	global_uncertainty_pp	contrib_IDtrg_stat_aa	contrib_IDtrg_syst_aa	contrib_IDtrg_aa	contrib_sta_stat_aa	contrib_sta_syst_aa	contrib_sta_aa	contrib_3d_aa	contrib_4d_aa	contrib_fit_aa	global_uncertainty_aa
65300	1216	50100	0.758045	0.124346	0.005	0.012	0.013	0.01	0.054	0.0549181	0.01	0.000267054	0.0127212	0.0374833	0.009	0.011	0.0142127	0.022	0.054	0.0583095	0.023	0.0103967	0.0220542	0.032311
65300	1216	4050	0.584556	0.0767981	0.005	0.012	0.013	0.01	0.054	0.0549181	0.01	0.000267054	0.0127212	0.0374833	0.009	0.011	0.0142127	0.022	0.054	0.0583095	0.022	0.0106242	0.0340673	0.032311
65300	1216	3040	0.514504	0.0563383	0.005	0.012	0.013	0.01	0.054	0.0549181	0.01	0.000267054	0.0127212	0.0374833	0.009	0.011	0.0142127	0.022	0.054	0.0583095	0.022	0.00633679	0.0269703	0.032311
65300	1216	2030	0.46153	0.0436508	0.005	0.012	0.013	0.01	0.054	0.0549181	0.01	0.000267054	0.0127212	0.0374833	0.009	0.011	0.0142127	0.022	0.054	0.0583095	0.014	0.00917561	0.0268121	0.032311
65300	1216	1020	0.317101	0.0296553	0.005	0.012	0.013	0.01	0.054	0.0549181	0.01	0.000267054	0.0127212	0.0374833	0.009	0.011	0.0142127	0.023	0.054	0.0586941	0.029	0.0118474	0.0369162	0.032311
65300	1216	010	0.289868	0.0246641	0.005	0.012	0.013	0.01	0.054	0.0549181	0.01	0.000267054	0.0127212	0.0374833	0.009	0.01	0.0134536	0.023	0.053	0.0577754	0.036	0.00105399	0.0245516	0.032311

65300	1624	50100	0.640366	0.109957	0.009	0.019	0.0210238	0.021	0.066	0.0692604	0.009	0.00415994	0.00743821	0.0374833	0.015	0.018	0.0234307	0.034	0.066	0.0742428	0.018	0.00608057	0.0296697	0.032311
65300	1624	4050	0.501719	0.0687773	0.009	0.019	0.0210238	0.021	0.066	0.0692604	0.009	0.00415994	0.00743821	0.0374833	0.015	0.017	0.0226716	0.034	0.066	0.0742428	0.017	0.00571385	0.0233099	0.032311
65300	1624	3040	0.424582	0.0633853	0.009	0.019	0.0210238	0.021	0.066	0.0692604	0.009	0.00415994	0.00743821	0.0374833	0.014	0.018	0.0228035	0.034	0.066	0.0742428	0.011	0.00898017	0.0944284	0.032311
65300	1624	2030	0.396721	0.0432663	0.009	0.019	0.0210238	0.021	0.066	0.0692604	0.009	0.00415994	0.00743821	0.0374833	0.014	0.018	0.0228035	0.034	0.065	0.0733553	0.024	0.0087368	0.0315712	0.032311
65300	1624	1020	0.341736	0.0458228	0.009	0.019	0.0210238	0.021	0.066	0.0692604	0.009	0.00415994	0.00743821	0.0374833	0.014	0.017	0.0220227	0.035	0.065	0.0738241	0.024	0.000460165	0.0933466	0.032311
65300	1624	010	0.30505	0.0304413	0.009	0.019	0.0210238	0.021	0.066	0.0692604	0.009	0.00415994	0.00743821	0.0374833	0.014	0.017	0.0220227	0.034	0.065	0.0733553	0.025	0.00435067	0.0403412	0.032311

