pT	rapidity	cent	Raa	Uncert_tot	contrib_IDtrg_stat_pp	contrib_IDtrg_syst_pp	contrib_IDtrg_pp	contrib_sta_stat_pp	contrib_sta_syst_pp	contrib_sta_pp	contrib_3d_pp	contrib_4d_pp	contrib_fit_pp	global_uncertainty_pp	contrib_IDtrg_stat_aa	contrib_IDtrg_syst_aa	contrib_IDtrg_aa	contrib_sta_stat_aa	contrib_sta_syst_aa	contrib_sta_aa	contrib_3d_aa	contrib_4d_aa	contrib_fit_aa	global_uncertainty_aa
0004	0024	0100	0.343408	0.0289375	0.006	0.007	0.00921954	0.011	0.045	0.0463249	0.024	0.000668285	0.0130769	0.0374833	0.01	0.012	0.0156205	0.026	0.045	0.0519711	0.025	0.00788048	0.0221392	0.032311
0408	0024	0100	0.372558	0.0394895	0.006	0.007	0.00921954	0.011	0.046	0.0472969	0.053	0.000531611	0.00957753	0.0374833	0.009	0.012	0.015	0.026	0.046	0.0528394	0.052	0.0054554	0.0161654	0.032311
0812	0024	0100	0.388665	0.0328638	0.004	0.009	0.00984886	0.01	0.051	0.0519711	0.012	0.000407264	0.0067075	0.0374833	0.008	0.012	0.0144222	0.027	0.05	0.0568243	0.024	0.000245062	0.0122233	0.032311
1216	0024	0100	0.379631	0.0326239	0.005	0.012	0.013	0.01	0.054	0.0549181	0.01	0.000267054	0.00775036	0.0374833	0.009	0.01	0.0134536	0.023	0.054	0.0586941	0.016	0.00606997	0.0109993	0.032311
1620	0024	0100	0.383902	0.0399091	0.007	0.018	0.0193132	0.019	0.065	0.06772	0.011	0.00325921	0.00336717	0.0374833	0.012	0.015	0.0192094	0.032	0.064	0.0715542	0.014	0.00271786	0.00355045	0.032311
2024	0024	0100	0.326287	0.0403461	0.015	0.02	0.025	0.027	0.069	0.0740945	0.018	0.00275694	0.0095643	0.0374833	0.026	0.024	0.0353836	0.043	0.068	0.080455	0.02	0.0149695	0.0200667	0.032311


