pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err 
65300 0024 010 0.0048001 0.0185528 0.00760593 0.0293976
65300 0024 1020 0.0564329 0.0198149 0.0691071 0.0242656
65300 0024 2030 0.0534803 0.0216295 0.0635309 0.0256951
65300 0024 3060 0.0493061 0.0179999 0.0631158 0.0230425
