pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
65300 0024 010 -82922.4 2.4 -131393 478.869 0.0155998
65300 0024 1030 -90668.4 3.39411 -109635 265.171 0.0391534
65300 0024 3060 -93893.7 4.8 -120192 446.222 0.884619
