pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
3065 0024 1060 -112682 0.6 -137956 219.569 3.17379e-18
6580 0024 1060 -131327 0.848528 -160782 255.899 6.48444e-10
80100 0024 1060 -145527 1.2 -178168 283.571 5.5833e-06
100300 0024 1060 -148866 1.69706 -182255 290.081 0.934062
