pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
65300 0024 010 -96423.1 0.6 -152786 556.818 0.181294
65300 0024 1020 -106510 0.848528 -130431 287.506 0.00290198
65300 0024 2030 -115457 1.2 -137155 407.328 0.0110802
65300 0024 3060 -124905 1.69706 -159889 593.551 0.00622296
