pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
65300 0024 010 0.0618395 0.013209 0.0979869 0.0209331 0.147451
65300 0024 1020 0.0753202 0.0170326 0.0922364 0.020859 0.463385
65300 0024 2030 0.0823341 0.0232948 0.0978072 0.0276741 0.0378325
65300 0024 3060 0.143574 0.0245421 0.183786 0.0314232 0.185587
