pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err 
3065 0024 1060 0.0431195 0.019224 0.0527907 0.0235359
6580 0024 1060 0.0509699 0.0200457 0.062402 0.024542
80100 0024 1060 0.0631197 0.0199029 0.0772768 0.0243673
100300 0024 1060 0.0322378 0.0187777 0.0394684 0.0229894
