pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err 
65300 0024 010 0.0970744 0.0323098 0.153818 0.051199
65300 0024 1030 0.0324555 0.0277279 0.0392449 0.0335284
65300 0024 3060 -0.00621815 0.0364394 -0.00795974 0.0466455
