pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
65300 0012 1060 -102892 0.6 -125970 200.492 0.000105819
65300 1216 1060 -111020 0.848528 -135921 216.331 0.0265396
65300 1624 1060 -118522 1.2 -145105 230.95 0.0491838
