pT  rapidity  cent  v2_nominal  v2Syst_tot  contrib_tnp  contrib_4d  contrib_3d contrib_fit 
3065 0024 1060 0.0956954 0.03941 0.00774622 0.0838477 0.052092 0.129581
65100 0024 1060 0.0323476 0.0263532 0.00143788 0.115021 0.350355 0.984511
100300 0024 1060 0.0432053 0.0154221 0.000119245 0.0790496 0.000785234 0.237294
