pT  rapidity  cent  v2_nominal  v2Syst_tot  contrib_tnp  contrib_4d  contrib_3d contrib_fit 
65300 0024 010 0.0856743 0.0771618 0.0058655 4.05999e-05 0.00145928 4.01895
65300 0024 1020 0.0874999 0.0192251 0.00254362 0.00339324 0.0418136 0.0026219
65300 0024 2030 0.0941976 0.034767 8.31391e-05 0.0014072 0.113477 0.106282
65300 0024 3060 0.170474 0.0167125 0.00341901 0.00366332 0.00223761 0.00145488
