pT  rapidity  cent  v2_nominal  v2Syst_tot  contrib_tnp  contrib_4d  contrib_3d contrib_fit 
65300 0024 010 0.14192 0.055479 0.0047547 0.0023188 0.075207 0.35268
65300 0024 1030 0.0480049 0.0422493 0.00433342 0.214908 0.419163 0.680887
65300 0024 3060 -0.0037931 -0.0380636 0.207957 18.4003 79.4985 12.9679
