pT  rapidity  cent  v2_nominal  v2Syst_tot  contrib_tnp  contrib_4d  contrib_3d contrib_fit 
65300 0012 1060 0.0845611 0.0333916 0.00108057 0.0376069 0.093281 0.119812
65300 1224 1060 -0.0213957 -0.0147543 0.000621051 0.0552362 0.169816 1.2493
