pT  rapidity  cent  v2_nominal  v2Syst_tot  contrib_tnp  contrib_4d  contrib_3d contrib_fit 
3065 0024 1060 0.0774148 0.0350224 2.889e-05 5.3833e-05 0.0045404 1.00021
6580 0024 1060 0.125247 0.0622577 1.30816e-05 0.000109398 0.0463449 1.0031
80100 0024 1060 0.137477 0.0627066 0.00142849 0.000198928 0.000138515 1.03142
100300 0024 1060 0.0155065 0.0131026 0.268366 0.0100213 0.0104823 2.12555
