pT  rapidity  cent  v2_nominal  v2Syst_tot  contrib_tnp  contrib_4d  contrib_3d contrib_fit 
65300 0012 1060 0.0616418 0.0395826 2.66974e-05 7.33142e-05 0.00435694 2.03942
65300 1216 1060 0.065297 0.00533562 0.00152257 0.000785102 0.000434121 0.0196761
65300 1624 1060 0.0663527 0.00722644 4.77487e-05 0.000590512 0.00271413 0.0425444
