pT  rapidity  cent  v2_nominal  v2Syst_tot  contrib_tnp  contrib_4d  contrib_3d contrib_fit 
65300 0012 1060 0.033647 0.0416333 0.00483741 0.058952 1.24417 1.11544
65300 1216 1060 0.192864 0.086529 0.000309868 0.000538133 8.30449e-06 1.00217
65300 1624 1060 0.135076 0.0610776 0.00204677 0.00110346 1.06363e-05 1.00649
