pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
3065 0024 1060 -77703.1 2.4 -95131.1 151.437 0.0222726
65100 0024 1060 -82391.7 3.39411 -100871 160.598 0.761143
100300 0024 1060 -87872.9 4.8 -107582 171.326 0.252463
