pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
3065 0024 1060 0.0750241 0.0595207 0.0918512 0.0728707 0.180319
65100 0024 1060 0.0262876 0.0301792 0.0321837 0.0369481 0.323115
100300 0024 1060 0.0362785 0.0324699 0.0444155 0.0397526 0.635582
