pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err 
65300 0012 1060 0.0705488 0.0278824 0.0863721 0.0341364
65300 1224 1060 -0.000675991 0.0349325 -0.000827609 0.0427675
