rap;pt;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-0.4;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02424,0.005,0.07];[1.6,1.2,2.2];[2.05];[1.53];[0.8,0.5,1.0]
0.4-0.8;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02424,0.005,0.07];[1.6,1.2,2.2];[2.05];[1.53];[0.8,0.5,1.0]
0.8-1.2;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02424,0.005,0.07];[1.6,1.2,2.2];[2.05];[1.53];[0.8,0.5,1.0]
1.2-1.6;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02424,0.005,0.07];[1.6,1.2,2.2];[2.05];[1.53];[0.8,0.5,1.0]
1.6-2.0;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02424,0.005,0.07];[1.6,1.2,2.2];[2.05];[1.53];[0.8,0.5,1.0]
2.0-2.4;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02424,0.005,0.07];[1.6,1.2,2.2];[2.05];[1.53];[0.8,0.5,1.0]
