rap;pt;cent;Model_Jpsi_PbPb;N_Jpsi_PbPb;m_Jpsi_PbPb;sigma1_Jpsi_PbPb;rSigma21_Jpsi_PbPb;alpha_Jpsi_PbPb;n_Jpsi_PbPb;f_Jpsi_PbPb
0.0-0.4;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02202,0.005,0.07];[1.6];[2.05];[1.63];[0.8,0.5,1.0]
0.4-0.8;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02202,0.005,0.07];[1.6];[2.05];[1.63];[0.8,0.5,1.0]
0.8-1.2;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02202,0.005,0.07];[1.6];[2.05];[1.63];[0.8,0.5,1.0]
1.2-1.6;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02202,0.005,0.07];[1.6];[2.05];[1.63];[0.8,0.5,1.0]
1.6-2.0;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02202,0.005,0.07];[1.6];[2.05];[1.63];[0.8,0.5,1.0]
2.0-2.4;6.5-30.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.02202,0.005,0.07];[1.6];[2.05];[1.63];[0.8,0.5,1.0]
