pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
65300 0012 1060 -102673 0.6 -125702 200.065 0.000146002
65300 1216 1060 -110900 0.848528 -135774 216.097 0.0240057
65300 1624 1060 -118488 1.2 -145064 230.885 0.0453213
