pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err  fitProb 
65300 0012 1060 -92852.8 0.6 -113679 180.93 0.226491
65300 1216 1060 -112977 0.848528 -138317 220.144 5.04958e-11
65300 1624 1060 -130031 1.2 -159196 253.377 3.00289e-08
