pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err 
3065 0024 1060 0.0455991 0.0192874 0.0558265 0.0236135
6580 0024 1060 0.0509676 0.0197998 0.0623991 0.0242408
80100 0024 1060 0.0771158 0.0206231 0.0944121 0.0252491
100300 0024 1060 0.0199998 0.0188105 0.0244855 0.0230295
