pT  rapidity  cent  v2Raw  v2RawErr  v2  v2Err 
3065 0024 1060 0.0640378 0.0615009 0.0784009 0.075295
65100 0024 1060 0.0407228 0.0297404 0.0498566 0.0364109
100300 0024 1060 0.0497061 0.0321145 0.0608547 0.0393176
